year,doy,hour,mean,std
2014,167,12,0.274752,0.068688
2014,191,9,0.24948,0.013135215567321314
2015,169,7,0.11685600000000002,0.005803932459979173
2015,203,10,0.21945599999999998,0.035434535018820275
2015,283,8,0.12744,0.0024437610357807104
2015,324,14,0.034992,0.008748
2016,83,9,0.037044,0.009622309078386536
2016,134,13,0.147744,0.036936
2016,168,8,0.206928,0.051732
2016,168,9,0.202176,0.050544
2016,200,10,0.19936800000000002,0.049842000000000004
2016,200,11,0.279072,0.069768
2016,252,9,0.19364399999999998,0.022452054516235238
2016,292,8,0.07397999999999999,0.017259062315201256
2016,342,11,0.038447999999999996,0.046431459679833455
2017,109,13,0.05972399999999999,0.009927779207859123
2017,145,8,0.16513200000000003,0.04780607526246012
2017,171,9,0.27637200000000006,0.020313763609927152
2017,200,11,0.25632,0.06408
2017,200,12,0.29570399999999997,0.07392599999999999
2017,263,11,0.288468,0.016037181797310923
2017,311,10,0.052272,0.017106327250464955
2018,108,8,0.152928,0.09775044143122835
2018,131,8,0.088992,0.022248
2018,159,8,0.11728799999999999,0.07117454016711314
2018,198,8,0.15055200000000002,0.07178548042605831
2018,213,11,0.174312,0.035129064889347694
2018,261,11,0.138456,0.034614
2018,261,12,0.177984,0.044496
2019,114,11,0.07236,0.03574000514829284
2019,155,9,0.203148,0.13608694268003815
2019,197,14,0.31158,0.009622309078386564
2019,231,10,0.44409600000000005,0.07331283107342128
2021,112,8,0.030671999999999998,0.0076679999999999995
2021,138,9,0.097848,0.024462
2021,174,8,0.22302,0.055755
2021,201,11,0.536976,0.134244
2021,235,8,0.6931440000000001,0.17328600000000002
2021,265,8,0.16041599999999998,0.040103999999999994
2021,299,9,0.18791999999999998,0.046979999999999994
