year,doy,hour,mean,std
2014,167,10,0.002592,0.0012218805178903541
2014,190,13,0.0054,0.0003054701294725888
2014,337,9,0.0008640000000000001,0.0008640000000000001
2015,98,12,0.00021600000000000002,0.00030547012947258854
2015,169,10,0.00054,0.00021600000000000002
2015,203,8,0.00756,0.0027492311652532963
2015,203,9,0.00756,0.002138290906308119
2015,283,15,0.014796000000000002,0.0005435880793394932
2015,324,13,0.0025920000000000006,0.0006109402589451773
2016,82,13,0.0006287142857142858,0.00018658367931776647
2016,134,9,0.002592,0.00149649189773951
2016,168,13,0.0024300000000000003,0.00054
2016,201,12,0.0035640000000000003,0.0006479999999999999
2016,252,7,0.006732,0.0007163909547167661
2016,292,12,0.005472000000000001,0.0023573815982992656
2016,341,9,0.0017280000000000002,0.0003527265229607778
2017,109,10,0.0006171428571428571,0.00037623787525382165
2017,144,10,0.0012754285714285715,3.5630759469988386e-05
2017,144,11,0.001116,5.0911688245431486e-05
2017,172,7,0.006291000000000001,0.0030064311068108635
2017,200,8,0.012186,0.005211054403861084
2017,262,12,0.0030600000000000002,0.0013527571844200276
2017,311,13,0.003258,0.0007695920997515504
2018,108,12,4.8000000000000015e-05,8.313843876330613e-05
2018,131,10,0.000297,0.0002044407004488099
2018,159,14,0.0007740000000000001,0.000271794039669747
2018,262,8,0.006495428571428572,0.003939213720362717
2019,155,12,0.00043200000000000004,0.0
2019,197,13,0.011772000000000001,0.002421384727795234
2019,231,13,0.005616,0.0005290897844411667
2021,112,11,0.00019440000000000004,3.054701294725884e-05
2021,138,11,0.0015120000000000003,0.0009164103884177657
2021,173,12,0.0044280000000000005,0.000610940258945177
2021,201,8,0.006523200000000002,0.0011607864919958362
2021,266,8,0.0027504,0.0012015158425921816
2021,299,12,0.0029376000000000003,0.0029376000000000003
